dish,source,url,evidence
Bagara Rice,Chefadora,https://www.chefadora.com/recipe/bagara-rice-hyderabadi-style-or-bagara-rice-recipe-or-hyderabadi-style-gyf7j0xbxv,"Exact recipe, 4 servings, ingredient quantities; publisher warns nutrition may be inaccurate."
Bagara Rice,Whisk Affair,https://www.whiskaffair.com/bagara-rice-recipe/,"Exact recipe, 6 servings, ingredient quantities; reports approx 300 kcal/serving, retained only as publisher-reported."
Pulihora,BigBasket Cookbook,https://www.bigbasket.com/cookbook/recipes/4584/pulihora/,"Exact recipe, 3 servings, ingredient quantities."
Pesarattu,Tarla Dalal,https://www.tarladalal.com/pesarattu-1688r,Exact ingredient quantities for Andhra-style pesarattu.
Gutti Vankaya,Dassana's Veg Recipes,https://www.vegrecipesofindia.com/gutti-vankaya-kura-recipe/,"Andhra recipe, 3 servings, ingredient quantities."
Gongura Chicken,Sanjeev Kapoor,https://www.sanjeevkapoor.com/Recipe/Gongura-Chicken.html,"Andhra recipe, 4 servings, 750g chicken and ingredient quantities."
Ulavacharu,Telugu Visheshalu,https://www.youtube.com/watch?v=L6_i4hgCT8Q,Andhra recipe with measured horse gram and other ingredients.
Bisi Bele Bath,Karnataka Tourism,https://old.karnatakatourism.org/destinations/bisi-bele-bath/,"Official tourism description of dish, preparation and characteristic ingredients."
Akki Rotti,Karnataka Tourism,https://karnatakatourism.org/en/experiences/akki-rotti,Official tourism description and ingredients.
Neer Dosa,Karnataka Tourism,https://karnatakatourism.org/en/experiences/neer-dosa,Official tourism description and regional names/variants.
Puttu Kadala,Kerala Tourism,https://www.keralatourism.org/kerala-food/puttu-kadala/43/,Official Kerala Tourism recipe with measured ingredients.
Kerala Vegetable Stew,NDTV Food,https://food.ndtv.com/recipe-kerala-vegetable-stew-227434,"Exact recipe, 4 servings, ingredient quantities."
Appam,Tarla Dalal,https://www.tarladalal.com/appam--how-to-make-appam--32844r,Recipe makes 15 appams with measured ingredients.
Chole Bhature,NDTV Food,https://food.ndtv.com/recipe-chole-bhature-231327,"Punjabi recipe, 4 servings, measured ingredients."
Pav Bhaji,Dassana's Veg Recipes,https://www.vegrecipesofindia.com/pav-bhaji-recipe-mumbai-pav-bhaji-a-fastfood-recipe-from-mumbai/,"Mumbai recipe, 5 servings, measured ingredients."
Undhiyu,NDTV Food,https://food.ndtv.com/recipe-undhiyu-548975,"Gujarati recipe, 3 servings, measured ingredients."
Pakhala Bhata,NDTV Food,https://food.ndtv.com/recipe-pakhala-bhata-954952,"Odisha recipe, 2 servings, measured ingredients and publisher-reported nutrition."
Pulihora,WebIndia123,https://www.webindia123.com/recipes/html/item/142/pulihora-%28tamarind-rice%29.html,"Andhra recipe, 6 servings, measured ingredients and regional aliases."
Neer Dosa,NDTV Food,https://food.ndtv.com/recipe-neer-dosa-463421,"Karnataka recipe, 2 servings, measured ingredients; coconut-containing variant."
