coverage_id,region,state,category,canonical_name,aliases,source_evidence,nutrition_status,nutrition_rule
REG22-0001,Andhra/Telangana,Telangana,rice dish,Bagara Rice,Bagara Annam; Bagara Khana; Bagara Chawal; Baghara Rice,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0002,Andhra/Telangana,Andhra Pradesh,rice dish,Pulihora,Tamarind Rice; Puliyodarai/Puliyogare regional cognates,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0003,Andhra/Telangana,Rayalaseema,breakfast,Uggani,Oggane; Borugula Upma,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0004,Andhra/Telangana,Andhra Pradesh,breakfast,Pesarattu,Pesara Attu; Green Gram Dosa,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0005,Andhra/Telangana,Andhra Pradesh,breakfast,Pesarattu Upma,Upma Pesarattu,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0006,Andhra/Telangana,Andhra Pradesh,curry,Gutti Vankaya,Stuffed Brinjal Curry,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0007,Andhra/Telangana,Andhra Pradesh,curry,Gongura Chicken,Gongura Kodi,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0008,Andhra/Telangana,Andhra Pradesh,curry,Gongura Mutton,Gongura Mamsam,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0009,Andhra/Telangana,Andhra Pradesh,curry,Natu Kodi Pulusu,Country Chicken Pulusu,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0010,Andhra/Telangana,Telangana,curry,Ulavacharu,Horse Gram Rasam/Stew,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0011,Andhra/Telangana,Telangana,rice dish,Bagara Baingan,Bagara Baingan Curry,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0012,Andhra/Telangana,Telangana,meat dish,Mutton Marag,Marag; Hyderabadi Mutton Marag,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0013,Andhra/Telangana,Telangana,meat dish,Mutton Paya,Paya; Trotter Curry,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0014,Andhra/Telangana,Telangana,meat dish,Chicken Pulao,Hyderabadi Chicken Pulao,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0015,Andhra/Telangana,Telangana,meat dish,Mutton Pulao,Mutton Yakhni Pulao variants,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0016,Andhra/Telangana,Hyderabad,meat dish,Murgh Musallam,Murg Musallam,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0017,Andhra/Telangana,Hyderabad,bread/meal,Naan Qalia,Naan Qaliya,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
