coverage_id,region,state,category,canonical_name,aliases,source_evidence,nutrition_status,nutrition_rule
REG22-0021,South,Karnataka,flatbread,Akki Rotti,Akki Roti,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0022,South,Karnataka,flatbread,Ragi Rotti,Ragi Roti,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0023,South,Karnataka,flatbread,Jowar Rotti,Jolada Rotti,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0042,South,Tamil Nadu,bread,Veechu Parotta,Veechu Parotta,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0043,South,Tamil Nadu,bread,Bun Parotta,Bun Parotta,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0052,South,Kerala,bread,Malabar Parotta,Kerala Parotta,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0068,West,Maharashtra,flatbread,Thalipeeth,Thali Pith,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0072,West,Gujarat,flatbread,Thepla,Methi Thepla,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0079,West,Rajasthan,bread,Bajra Roti,Bajre ki Roti,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0082,North,Punjab,bread,Amritsari Kulcha,Amritsari Aloo Kulcha,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
