recipe,ingredient,quantity,source
Bagara Rice,basmati rice,300 g,Chefadora
Bagara Rice,oil,3 tbsp,Chefadora
Bagara Rice,onion,1/2 cup,Chefadora
Bagara Rice,green chilli,2 pieces,Chefadora
Bagara Rice,ginger-garlic paste,1 tsp,Chefadora
Bagara Rice,mint leaves,2 tsp,Chefadora
Bagara Rice,coriander leaves,2 tsp,Chefadora
Pulihora,Sona Masoori rice,1.5 cups,BigBasket
Pulihora,sesame oil,1 tbsp,BigBasket
Pulihora,tamarind pulp,1/2 cup,BigBasket
Pulihora,urad dal,1 tbsp,BigBasket
Pulihora,chana dal,1 tbsp,BigBasket
Pulihora,peanuts,1/2 cup,BigBasket
Pesarattu,whole moong,1 cup,Tarla Dalal
Pesarattu,raw rice,1/4 cup,Tarla Dalal
Gongura Chicken,chicken on bone,750 g,Sanjeev Kapoor
Gongura Chicken,gongura leaves,1 cup,Sanjeev Kapoor
Gongura Chicken,oil,2 tbsp,Sanjeev Kapoor
Ulavacharu,horse gram,125 g,Telugu Visheshalu
Ulavacharu,tamarind,lemon-size,Telugu Visheshalu
Bisi Bele Bath,rice,1 cup,Dassana
Bisi Bele Bath,toor dal,3/4 cup,Dassana
Bisi Bele Bath,carrot,100-120 g,Dassana
Bisi Bele Bath,french beans,80-100 g,Dassana
Bisi Bele Bath,green peas,60-70 g,Dassana
Akki Rotti,rice flour,source recipe quantity,Karnataka Tourism
Neer Dosa,rice,200 g,Dassana
Puttu,coarse rice flour,1 cup,Kerala Tourism
Puttu,grated coconut,1/2 cup,Kerala Tourism
Kerala Vegetable Stew,mixed vegetables,4 cups,NDTV
Kerala Vegetable Stew,onion,2 medium,NDTV
Kerala Vegetable Stew,oil,4 tbsp,NDTV
Kerala Vegetable Stew,coconut milk,2 cups,NDTV
Appam,uncooked rice,2 cups,Tarla Dalal
Appam,cooked rice,1/2 cup,Tarla Dalal
Appam,coconut milk,1 cup,Tarla Dalal
Chole Bhature,chickpeas,2 cups,NDTV
Chole Bhature,refined flour,2 cups,NDTV
Pav Bhaji,potato,250 g,Dassana
Pav Bhaji,cauliflower,120-130 g,Dassana
Pav Bhaji,green peas,1 cup,Dassana
Pav Bhaji,butter,3 tbsp,Dassana
Undhiyu,yam,100 g,NDTV
Undhiyu,potato,100 g,NDTV
Undhiyu,beans,100 g,NDTV
Undhiyu,raw banana,100 g,NDTV
Pakhala Bhata,cooked rice,2 cups,NDTV
Pakhala Bhata,curd,1 cup,NDTV
