recipe_id,canonical_name,aliases,region,cuisine,source_name,record_type,source_url,source_details,nutrition_status
GF-REG-00001,Bagara Rice,Bagara Annam; Bagara Khana; Bagara Chawal; Baghara Rice; Baghara Pulao,Telangana / Hyderabad,South Indian,Chefadora / Whisk Affair,source_recipe,https://www.chefadora.com/recipe/bagara-rice-hyderabadi-style-or-bagara-rice-recipe-or-hyderabadi-style-gyf7j0xbxv,4 servings; 300 g basmati rice; 3 tbsp oil; 1/2 cup onion; green chilli; marati mogga; star anise; stone flower; ginger-garlic; coriander; mint; shajeera; cinnamon; cloves; cardamom; salt,Nutrition not promoted as canonical; recipe source gives 302.5 kcal/serving but explicitly labels nutritional info auto-generated and may be inaccurate.
GF-REG-00002,Andhra Pulihora,Pulihora; Chintapandu Pulihora; Puliyogare; Puli Sadam; Tamarind Rice,Andhra Pradesh / Telangana,South Indian,BigBasket / WebIndia123,source_recipe,https://www.bigbasket.com/cookbook/recipes/4584/pulihora/,3 servings; 1.5 cups Sona Masoori rice; sesame oil; turmeric; tamarind pulp; jaggery optional; mustard; urad dal; chana dal; peanuts; chillies; ginger; curry leaves; hing,No canonical nutrition assigned; source provides recipe quantities.
GF-REG-00003,Pesarattu,Pesarattu; Green Moong Dosa; Pesara Dosa,Andhra Pradesh / Telangana,South Indian,Tarla Dalal,source_recipe,https://www.tarladalal.com/pesarattu-1688r,1 cup whole moong; 1/4 cup raw rice; ginger; green chilli; salt,No canonical nutrition assigned; derive only from source-backed ingredients.
GF-REG-00004,Gutti Vankaya Curry,Gutti Vankaya Kura; Stuffed Brinjal Curry,Andhra Pradesh,South Indian,Dassana's Veg Recipes,source_recipe,https://www.vegrecipesofindia.com/gutti-vankaya-kura-recipe/,3 servings; 250 g small brinjals; onion; ginger-garlic; coconut; peanuts; spices; tamarind,No canonical nutrition assigned; recipe-derived nutrition requires standardized final yield.
GF-REG-00005,Gongura Chicken,Gongura Kodi; Gongura Chicken Curry,Andhra Pradesh,South Indian,Sanjeev Kapoor,source_recipe,https://www.sanjeevkapoor.com/Recipe/Gongura-Chicken.html,4 servings; 750 g chicken on bone; 1 cup gongura; oil; garlic; green chilli; ginger-garlic; onion; poppy seeds; cumin; garam masala,No canonical nutrition assigned; chicken cut and edible portion must remain explicit.
GF-REG-00006,Ulavacharu,Ulavalu Charu; Horse Gram Rasam; Kollu Rasam,Andhra Pradesh / Telangana,South Indian,Telugu Visheshalu recipe,source_recipe,https://www.youtube.com/watch?v=L6_i4hgCT8Q,125 g horse gram; tamarind; tomato; green chilli; curry leaves; turmeric; chilli powder; mustard; cumin; 3-4 tbsp oil; pepper; coriander powder,No canonical nutrition assigned; source recipe retained for derivation.
GF-REG-00007,Bisi Bele Bath,Bisi Bele Huliyanna; Bisi Bele Bhaat; Hot Lentil Rice,Karnataka,South Indian,Karnataka Tourism / Dassana,source_recipe,https://old.karnatakatourism.org/destinations/bisi-bele-bath/,Rice + toor dal + vegetables + tamarind + bisi bele bath masala + tempering; Karnataka Tourism confirms preparation and ingredients; recipe source gives 6 servings and measured quantities.,No canonical nutrition assigned; exact recipe version must be selected before derivation.
GF-REG-00008,Akki Rotti,Akki Roti; Akki Dose; Rice Roti,Karnataka,South Indian,Karnataka Tourism,source_recipe,https://karnatakatourism.org/en/experiences/akki-rotti,Rice flour; onion; carrot; curry leaves; coconut; coriander; cumin; green chilli; salt; water; oil; optional butter,No canonical nutrition assigned.
GF-REG-00009,Neer Dosa,Neer Dose; Thellin Dose; Bari Akki Dose,Karnataka / Mangalore,South Indian,Karnataka Tourism / NDTV,source_recipe,https://karnatakatourism.org/en/experiences/neer-dosa,Rice batter; salt; water; coconut depending on recipe version; served with chutney/curry,No canonical nutrition assigned; recipe variants are preserved separately.
GF-REG-00010,Puttu and Kadala Curry,Puttu Kadala; Puttu with Kadala Curry,Kerala,South Indian,Kerala Tourism,source_recipe,https://www.keralatourism.org/kerala-food/puttu-kadala/43/,"Puttu: coarse rice flour, grated coconut, water, salt. Kadala: black chickpea, coconut oil, coconut, garlic, shallots, mustard, red chilli, onion, coriander, spices.","No canonical nutrition assigned; source is recipe authority, not a nutrition table."
